phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID,role
Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon,Crangon crangon,species,107552,Crangon crangon,107552,prey
Arthropoda,Malacostraca,Decapoda,NA,NA,NA,Decapoda,order,1130,Decapoda,1130,prey
Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,Mysis oculata,Mysis oculata,species,120115,Mysis oculata,120115,prey
Arthropoda,Malacostraca,Mysida,NA,NA,NA,Mysida,order,149668,Mysida,149668,prey
Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,Idotea metallica,Idotea metallica,species,119047,Idotea metallica,119047,prey
Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,Eurydice pulchra,Eurydice pulchra,species,118852,Eurydice pulchra,118852,prey
Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,NA,Eurydice,genus,118401,Eurydice,118401,prey
Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,Ligia oceanica,Ligia oceanica,species,146999,Ligia oceanica,146999,prey
Arthropoda,Malacostraca,Isopoda,NA,NA,NA,Isopoda,order,1131,Isopoda,1131,prey
Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,Gnathophausia zoea,species,119930,Gnathophausia zoea,119930,prey
Arthropoda,Malacostraca,NA,NA,NA,NA,Malacostraca,class,1071,Malacostraca,1071,prey
Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA,Calanus,genus,104152,Calanus,104152,prey
Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia longa,Metridia longa,species,104632,Metridia longa,104632,prey
Arthropoda,Hexanauplia,Siphonostomatoida,Caligidae,Caligus,Caligus elongatus,Caligus elongatus,species,478342,Caligus coryphaenae,135748,prey
Arthropoda,Pycnogonida,NA,NA,NA,NA,Pycnogonida,class,1302,Pycnogonida,1302,prey
Arthropoda,NA,NA,NA,NA,NA,Arthropoda,phylum,1065,Arthropoda,1065,prey
Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus steenstrupi,Gonatus steenstrupi,species,140027,Gonatus steenstrupi,140027,prey
Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus fabricii,Gonatus fabricii,species,395177,Gonatus steenstrupi,140027,prey
Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,NA,Gonatidae,family,11743,Gonatidae,11743,prey
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex,Illex illecebrosus,Illex illecebrosus,species,748978,Illex coindetii,140621,prey
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes,Todarodes sagittatus,Todarodes sagittatus,species,140624,Todarodes sagittatus,140624,prey
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis,Todaropsis eblanae,Todaropsis eblanae,species,140625,Todaropsis eblanae,140625,prey
