reference,ref_n,ref_ids
Daunt & Wanless IMLOT 1973-2151,1,REF016
Daunt & Wanless IMLOT 1973-2152,1,REF016
Daunt & Wanless IMLOT 1973-2153,1,REF016
Daunt & Wanless IMLOT 1973-2154,1,REF016
Daunt & Wanless IMLOT 1973-2155,1,REF016
Daunt & Wanless IMLOT 1973-2156,1,REF016
Daunt & Wanless IMLOT 1973-2157,1,REF016
Daunt & Wanless IMLOT 1973-2158,1,REF016
"Daunt & Wanless IMLOT 1973-2014, Bull et al 2004 Ardea 92, 43?52",2,REF016; REF010
"Daunt & Wanless IMLOT 1973-2014, Bull et al 2004 Ardea 92, 43?52 & Bull  et al 2001 JNCC Report, No. 315",3,REF016; REF010; REF009
